Year	Plot	Date collected	Species	Sex	Weight	Miscalibrated
2014	1	1/9/14	DM	M	40	FALSE
2014	1	1/9/14	DM	F	36	FALSE
2014	1	3/13/14	DM	F	51	FALSE
2014	1	3/13/14	DM	F	44	FALSE
2014	1	3/13/14	DS	F	146	FALSE
2014	1	1/8/14	Null	Null	Null	FALSE
2014	2	1/8/14	DM	M	44	FALSE
2014	2	1/8/14	PF	F	7	FALSE
2014	2	1/8/14	DM	M	45	FALSE
2014	2	1/8/14	OT	Null	Null	FALSE
2014	2	1/8/14	DS	M	157	TRUE
2014	2	1/8/14	OX	Null	Null	FALSE
2014	2	2/18/14	Null	M	218	TRUE
2014	2	2/18/14	PF	F	7	FALSE
2014	3	2/18/14	DM	M	52	FALSE
2014	3	3/11	PF	M	8	FALSE
2014	3	4/8	Null	F	Null	FALSE
2014	3	5/6	Null	Null	Null	FALSE
2014	3	5/18	NA	F	182	FALSE
2014	3	6/9	OT	F	29	FALSE
2014	3	7/8	NA	F	115	FALSE
2014	3	7/8	NA	M	190	FALSE
2014	4	1/8/78	DM	F	37	FALSE
2014	4	1/8/78	DM	M	Null	FALSE
2014	4	1/8/78	DM	F	48	FALSE
2014	4	1/8/78	DO	M	52	FALSE
2014	4	1/8/78	OL	M	35	FALSE
2013	8	8/19/13	DO	F	52	FALSE
2013	3	10/17/13	DO	F	33	FALSE
2013	3	10/17/13	DO	F	50	FALSE
2013	9	12/10/13	DO	F	40	FALSE
2013	1	12/10/13	DO	M	45	FALSE
2013	8	12/11/13	DO	F	41	FALSE
2013	2	7/16/13	DM	F	Null	FALSE
2013	7	7/16/13	DM	M	33	FALSE
2013	3	7/16/13	DM	M	Null	FALSE
2013	1	7/16/13	DM	M	Null	FALSE
2013	3	7/18/13	DM	M	40	FALSE
2013	7	7/18/13	DM	M	48	FALSE
2013	4	7/18/13	DM	F	29	FALSE
2013	6	7/18/13	DM	F	37	FALSE
2013	9	11/12/13	DS	F	117	FALSE
2013	11	11/13/13	DS	F	126	FALSE
2013	17	11/13/13	DS	M	132	TRUE
2013	14	11/13/13	DS	F	113	TRUE
2013	11	11/13/13	DS	F	122	FALSE
2013	4	11/13/13	DS	F	107	FALSE
2013	4	11/13/13	DS	F	115	FALSE
